上海频道,#genre#
咪咕2,http://117.148.179.35/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230346/index.m3u8
咪咕3,http://117.148.179.35/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230353/index.m3u8
咪咕4,http://117.148.179.35/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230355/index.m3u8
咪咕5,http://117.148.179.35/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230356/index.m3u8
咪咕6,http://117.148.179.35/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230358/index.m3u8
咪咕7,http://117.148.179.35/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230367/index.m3u8
咪咕8,http://117.148.179.35/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230370/index.m3u8
咪咕9,http://117.148.179.35/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230371/index.m3u8
咪咕10,http://117.148.179.35/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230374/index.m3u8
咪咕11,http://117.148.179.35/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230377/index.m3u8
咪咕12,http://117.148.179.35/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230380/index.m3u8
NewTV频道,#genre#
爱情喜剧,http://183.207.248.71:80/cntv/live1/n-aiqingxj/n-aiqingxj
潮妈辣婆,http://183.207.248.71:80/cntv/live1/n-cmlapo/n-cmlapo
动作电影,http://183.207.248.71:80/cntv/live1/n-dongzuody/n-dongzuody
古装剧场,http://183.207.248.71:80/cntv/live1/n-guzhuangjc/n-guzhuangjc
黑莓电竞,http://183.207.248.71:80/cntv/live1/wmyx/wmyx
黑莓电影,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-Supermovie/HD-8000k-1080P-Supermovie
黑莓动画,http://183.207.248.71:80/cntv/live1/donghuawg/donghuawg
家庭剧场,http://183.207.248.71:80/cntv/live1/n-jiatingjc/n-jiatingjc
金牌综艺,http://183.207.248.71:80/cntv/live1/n-saishijx/n-saishijx
精品大剧,http://183.207.248.71:80/cntv/live1/n-jdaju/n-jdaju
精品体育,http://183.207.248.71:80/cntv/live1/n-jtiyu/n-jtiyu
精品综合,http://183.207.248.71:80/cntv/live1/n-mingxingdp/n-mingxingdp
军旅剧场,http://183.207.248.71:80/cntv/live1/n-junlvjc/n-junlvjc
军事评论,http://183.207.248.71:80/cntv/live1/n-junshipl/n-junshipl
农业致富,http://183.207.248.71:80/cntv/live1/n-nongyezf/n-nongyezf
热播精选,http://183.207.248.71:80/cntv/live1/n-xiqumd/n-xiqumd
中国功夫,http://183.207.248.71:80/cntv/live1/n-gzkongfu/n-gzkongfu
超级电影,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
超级电视剧,http://39.134.66.66/PLTV/88888888/224/3221225637/index.m3u8
超级综艺,http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8
港澳其他,#genre#
凤凰中文,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8
凤凰中文,http://zb.ios.ifeng.com/live/05QGDA0CIRK/index.m3u8
凤凰中文,http://223.110.245.139/PLTV/3/224/3221226922/index.m3u8
凤凰资讯,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
凤凰资讯,http://zb.ios.ifeng.com/live/05QGCOB3T34/index.m3u8
凤凰资讯,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228597/index.m3u8
凤凰香港,http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
香港卫视,https://al-pull2.hkatv.vip/live/hktv20210929.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
创世电视,http://al-pull2.hkatv.vip/live/CTV.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8
光影欧洲,rtmp://45.88.148.178/channel/60c2f712961593122ebaf8de
中视新闻,rtmp://45.92.126.226/channel/60c316c5961593122ebaf900
中视经典,rtmp://45.88.148.178/channel/60c31708961593122ebaf902
星卫娱乐台,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910d3c
纬来育乐,rtmp://45.92.126.226/channel/60c31357961593122ebaf8f8
探索频道,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d6e
台视新闻,rtmp://45.88.148.178/channel/61003bbcf0618408855f374c
台视财经,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910c48
民视,rtmp://45.92.126.226/channel/60c317bd961593122ebaf90a
公视台语台,rtmp://45.92.126.226/channel/60c31796961593122ebaf908
MOD桌面,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d3a
华视教育体育文化,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910c4e
